code,product_name,shop_category_db,coverage_category,substance,family_slug,research_slug,variant,lexicon_profile_required,mapping_unique,status,reason
HYD200,Hydroxychloroquine,ORALS,ORALS,Hydroxychloroquine,hydroxychloroquine,,200mg x 60capsule,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
IG01,IGF-1LR3,PEPTIDES,PEPTIDES,IGF-1LR3,igf-1-lr3,igf-1-lr3,0.1mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
IG1,IGF-1LR3,PEPTIDES,PEPTIDES,IGF-1LR3,igf-1-lr3,igf-1-lr3,1mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
IP10,Ipamorelin,PEPTIDES,PEPTIDES,Ipamorelin,ipamorelin,ipamorelin,10mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
IP2,Ipamorelin,PEPTIDES,PEPTIDES,Ipamorelin,ipamorelin,ipamorelin,2mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
IP5,Ipamorelin,PEPTIDES,PEPTIDES,Ipamorelin,ipamorelin,ipamorelin,5mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
ISO10,isotretinoin,ORALS,ORALS,isotretinoin,isotretinoin,,10mg x 100pcs,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
KL80,(KLOW) GHK-CU 50mg+TB500 10mg+BPC157 10mg+TB500 10mg Blend,PEPTIDES,BLENDS,(KLOW) GHK-CU 50mg+TB500 10mg+BPC157 10mg+TB500 10mg Blend,klow-blend,,80mg/vial x10vials,ja,nein,REVIEW_REQUIRED,Klow is not the glow-blend identity (extra TB-500).
KP10,KPV,PEPTIDES,PEPTIDES,KPV,kpv,kpv,10mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
KP5,KPV,PEPTIDES,PEPTIDES,KPV,kpv,kpv,5mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
KP500,KPV,ORALS,PEPTIDES,KPV,kpv,kpv,500mcg x 100tablets,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
KS10,KissPeptin-10,PEPTIDES,PEPTIDES,KissPeptin-10,kisspeptin-10,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
KS5,KissPeptin-10,PEPTIDES,PEPTIDES,KissPeptin-10,kisspeptin-10,,5mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
LAX20,Cartalax,PEPTIDES,PEPTIDES,Cartalax,cartalax,,20mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
LC500,LC500,INJECTABLES-OILS,SONSTIGE,LC500,lc-opaque,,500mg,nein,nein,UNKNOWN,Shopbezeichnung ohne identifizierbaren Wirkstoff.
LC526,LC526,INJECTABLES-OILS,SONSTIGE,LC500,lc-opaque,,various,nein,nein,UNKNOWN,Shopbezeichnung ohne identifizierbaren Wirkstoff.
LC653,LC653,INJECTABLES-OILS,SONSTIGE,LC500,lc-opaque,,various,nein,nein,UNKNOWN,Shopbezeichnung ohne identifizierbaren Wirkstoff.
LGD,LGD-4033 (Ligandrol),ORALS,ORALS,LGD-4033 (Ligandrol),ligandrol,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
LI20,Livagen,PEPTIDES,PEPTIDES,Livagen,livagen,,20mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
LL10,Liraglutide,PEPTIDES,PEPTIDES,Liraglutide,liraglutide,liraglutide,10mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
LL30,Liraglutide,PEPTIDES,PEPTIDES,Liraglutide,liraglutide,liraglutide,30mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
LL5,Liraglutide,PEPTIDES,PEPTIDES,Liraglutide,liraglutide,liraglutide,5mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
LV5,Ivermectin,ORALS,ORALS,Ivermectin,ivermectin,,5mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
LZ25,Letrozole,ORALS,ORALS,Letrozole,letrozole,,2.5mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
M100,Primobolan E,INJECTABLES-OILS,OILS / INJECTABLES,Primobolan E,methenolone-enanthate,,100mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
M1T10,17a-Methyl-1-testosterone,ORALS,ORALS,17a-Methyl-1-testosterone,methyl-1-testosterone,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
M200,Primobolan E,INJECTABLES-OILS,OILS / INJECTABLES,Primobolan E,methenolone-enanthate,,200mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
M25,Methenolone Acetate (Primobolan),ORALS,OILS / INJECTABLES,Methenolone Acetate (Primobolan),methenolone-acetate,,25mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
M28,Ostarine / MK-2866,ORALS,ORALS,Ostarine / MK-2866,ostarine,,25mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
M40,Methenolone Acetate (Primobolan),ORALS,OILS / INJECTABLES,Methenolone Acetate (Primobolan),methenolone-acetate,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
M50,Methenolone Acetate (Primobolan),ORALS,OILS / INJECTABLES,Methenolone Acetate (Primobolan),methenolone-acetate,,50mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
M6,MK-677 (Ibutamoren),ORALS,ORALS,MK-677 (Ibutamoren),ibutamoren,,10mg x 100pcs,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
MA10,Matrixyl,PEPTIDES,PEPTIDES,Matrixyl,matrixyl,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
MAX20,Prostamax,PEPTIDES,PEPTIDES,Prostamax,prostamax,,20mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
MB20,Methylene Blue,ORALS,ORALS,Methylene Blue,methylene-blue,,20mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
MD5,Minoxidil,ORALS,ORALS,Minoxidil,minoxidil,,5mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
MDT10,Mazdutide,PEPTIDES,PEPTIDES,Mazdutide,mazdutide,mazdutide,10mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
MDT5,Mazdutide,PEPTIDES,PEPTIDES,Mazdutide,mazdutide,mazdutide,5mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
ML10,MT-2 (Melanotan 2 Acetate),PEPTIDES,PEPTIDES,MT-2 (Melanotan 2 Acetate),melanotan-ii,melanotan-ii,10mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
MN50,MENT (Testosterone Acetate),INJECTABLES-OILS,OILS / INJECTABLES,MENT (Testosterone Acetate),ment,,50mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
MS10,MOTS-C,PEPTIDES,PEPTIDES,MOTS-C,mots-c,mots-c,10mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
MS40,MOTS-C,PEPTIDES,PEPTIDES,MOTS-C,mots-c,mots-c,40mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
MSB10,Methylstenbolone,ORALS,ORALS,Methylstenbolone,methylstenbolone,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
MT1,MT-1,PEPTIDES,PEPTIDES,MT-1,melanotan-i,,10mg/vial x10vials,ja,nein,REVIEW_REQUIRED,Melanotan I is not Melanotan II; prefix ^MT[0-9] must not stand.
N200,DECA (ND),INJECTABLES-OILS,OILS / INJECTABLES,DECA (ND),nandrolone-decanoate,,200mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
N300,DECA (ND),INJECTABLES-OILS,OILS / INJECTABLES,DECA (ND),nandrolone-decanoate,,300mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
NET10,N-Acetyl Epitalon Amidate,PEPTIDES,PEPTIDES,N-Acetyl Epitalon Amidate,n-acetyl-epitalon-amidate,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
NET5,N-Acetyl Epitalon Amidate,PEPTIDES,PEPTIDES,N-Acetyl Epitalon Amidate,n-acetyl-epitalon-amidate,,5mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
NJ100,NAD+,INJECTABLES-OILS,PEPTIDES,NAD+,nad,,100mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
NJ1000,NAD+,PEPTIDES,PEPTIDES,NAD+,nad,,1000mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
NJ250,NAD+,PEPTIDES,PEPTIDES,NAD+,nad,,250mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
NJ3100,NAD+,PEPTIDES,PEPTIDES,NAD+,nad,,100mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
NJ500,NAD+,PEPTIDES,PEPTIDES,NAD+,nad,,500mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
NM300,NANDROMIX 300mg,INJECTABLES-OILS,BLENDS,NANDROMIX 300mg,nandromix,,300mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
NP810,SNAP-8,PEPTIDES,PEPTIDES,SNAP-8,snap-8,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
NSK30,NA Selank amide,PEPTIDES,PEPTIDES,NA Selank amide,na-selank-amide,,30mg/vial x10vials,ja,nein,REVIEW_REQUIRED,Modified analogue; not mapped to selank without a separate identity.
NXA30,NA Semax amide,PEPTIDES,PEPTIDES,NA Semax amide,na-semax-amide,,30mg/vial x10vials,ja,nein,REVIEW_REQUIRED,Modified analogue; not mapped to semax without a separate identity.
ORF12,Orforglipron,ORALS,ORALS,Orforglipron,orforglipron,orforglipron,12mg x 100pcs,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
ORF6,Orforglipron,ORALS,ORALS,Orforglipron,orforglipron,orforglipron,6mg x 100pcs,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
OT10,Oxytocin Acetate,PEPTIDES,PEPTIDES,Oxytocin Acetate,oxytocin,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
OT2,Oxytocin Acetate,PEPTIDES,PEPTIDES,Oxytocin Acetate,oxytocin,,2mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
OT5,Oxytocin Acetate,PEPTIDES,PEPTIDES,Oxytocin Acetate,oxytocin,,5mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
OV20,Ovagen,PEPTIDES,PEPTIDES,Ovagen,ovagen,,20mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
OXO50,ANADROL (Oxymetholone),INJECTABLES-OILS,ORALS,ANADROL (Oxymetholone),oxymetholone,,50mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
OXP50,ANADROL,ORALS,ORALS,ANADROL (Oxymetholone),oxymetholone,,50mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
P10,Proviron,ORALS,ORALS,Proviron,mesterolone,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
P100,TEST P,INJECTABLES-OILS,OILS / INJECTABLES,TEST P,testosterone-propionate,,100mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
P200,TEST P,INJECTABLES-OILS,OILS / INJECTABLES,TEST P,testosterone-propionate,,200mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
P210,P21,PEPTIDES,PEPTIDES,P21,p21,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
P25,Proviron,ORALS,ORALS,Proviron,mesterolone,,25mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
P41,PT-141,PEPTIDES,PEPTIDES,PT-141,pt-141,,10mg/vial x 10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
PA20,Pancragen,INJECTABLES-OILS,PEPTIDES,Pancragen,pancragen,,20mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
PBN40,Prednisone,ORALS,ORALS,Prednisone,prednisone,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
PE10,PE 22-28,PEPTIDES,PEPTIDES,PE 22-28,pe-22-28,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
PIN10,Pinealon,PEPTIDES,PEPTIDES,Pinealon,pinealon,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
PIN20,Pinealon,PEPTIDES,PEPTIDES,Pinealon,pinealon,,20mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
PIN5,Pinealon,PEPTIDES,PEPTIDES,Pinealon,pinealon,,5mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
PN10,PNC 27,PEPTIDES,PEPTIDES,PNC 27,pnc-27,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
PN100,NPP,INJECTABLES-OILS,OILS / INJECTABLES,NPP,nandrolone-phenylpropionate,,100mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
PN200,NPP,INJECTABLES-OILS,OILS / INJECTABLES,NPP,nandrolone-phenylpropionate,,200mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
PN5,PNC 27,PEPTIDES,PEPTIDES,PNC 27,pnc-27,,5mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
PND,DNP,ORALS,ORALS,DNP,dnp,,250mg x 25tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
PRO20,Aprostadil,PEPTIDES,SONSTIGE,Aprostadil,alprostadil,,20mcg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
R100,Tren A,INJECTABLES-OILS,OILS / INJECTABLES,Tren A,trenbolone-acetate,,100mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
R14,RAD140,ORALS,ORALS,RAD140,rad140,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
R200,Tren E,INJECTABLES-OILS,OILS / INJECTABLES,Tren E,trenbolone-enanthate,,200mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
RA10,ARA-290,PEPTIDES,PEPTIDES,ARA-290,ara-290,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
RC10,Retatrutide 5mg+Cagrilintide 5mg Blend,PEPTIDES,BLENDS,Retatrutide 5mg+Cagrilintide 5mg Blend,retatrutide-cagrilintide-blend,,10mg/vial x10vials,ja,nein,REVIEW_REQUIRED,Two-substance blend; do not pick one INN.
RM200,TRENMIX 200mg,INJECTABLES-OILS,BLENDS,TRENMIX 200mg,trenmix,,200mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
RT10,Retatrutide,PEPTIDES,PEPTIDES,Retatrutide,retatrutide,retatrutide,10mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
RT100,Retatrutide,PEPTIDES,PEPTIDES,Retatrutide,retatrutide,retatrutide,100mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
RT15,Retatrutide,PEPTIDES,PEPTIDES,Retatrutide,retatrutide,retatrutide,15mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
RT20,Retatrutide,PEPTIDES,PEPTIDES,Retatrutide,retatrutide,retatrutide,20mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
RT30,Retatrutide,PEPTIDES,PEPTIDES,Retatrutide,retatrutide,retatrutide,30mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
RT40,Retatrutide,PEPTIDES,PEPTIDES,Retatrutide,retatrutide,retatrutide,40mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
RT5,Retatrutide,PEPTIDES,PEPTIDES,Retatrutide,retatrutide,retatrutide,5mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
RT50,Retatrutide,PEPTIDES,PEPTIDES,Retatrutide,retatrutide,retatrutide,50mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
RT60,Retatrutide,PEPTIDES,PEPTIDES,Retatrutide,retatrutide,retatrutide,60mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
RX225,RIPEX,INJECTABLES-OILS,SONSTIGE,RIPEX,ripex,,225mg,nein,nein,UNKNOWN,Shopbezeichnung ohne identifizierbaren Wirkstoff.
RY100,Tren E,INJECTABLES-OILS,OILS / INJECTABLES,Tren E,trenbolone-enanthate,,100mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
S040,Andarine S4,ORALS,ORALS,Andarine S4,andarine,,25mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
S250,Sustanon 250mg,INJECTABLES-OILS,BLENDS,Sustanon 250mg,sustanon,,250mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
S400,Sustanon 400mg,INJECTABLES-OILS,BLENDS,Sustanon 250mg,sustanon,,400mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
S450,Supertest 450mg,INJECTABLES-OILS,BLENDS,Supertest 450mg,supertest,,450mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
S9,SR9009,ORALS,ORALS,SR9009,sr9009,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SB20,SALBUTAMOL,ORALS,ORALS,SALBUTAMOL,salbutamol,,20mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SB300,slupp-332 250mcg+BAM15 50mcg,ORALS,BLENDS,slupp-332 250mcg+BAM15 50mcg,slu-pp-332-bam15-blend,,300mcg x 60pcs,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SD10,Superdrol,ORALS,ORALS,Superdrol,methasterone,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SD100,Sildenafil (Viagra),ORALS,ORALS,Sildenafil (Viagra),sildenafil,,100mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SDO50,Superdrol (Methyldrostanolone),INJECTABLES-OILS,ORALS,Superdrol,methasterone,,50mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SHB,SHB,INJECTABLES-OILS,SONSTIGE,SHB,shb,,blend,nein,nein,UNKNOWN,Shopbezeichnung ohne identifizierbaren Wirkstoff.
SK10,Selank,PEPTIDES,PEPTIDES,Selank,selank,selank,10mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SK30,Selank,PEPTIDES,PEPTIDES,Selank,selank,selank,30mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SK5,Selank,PEPTIDES,PEPTIDES,Selank,selank,selank,5mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SL100,SLU-PP-332,ORALS,PEPTIDES,SLU-PP-332,slu-pp-332,,100mg x 60tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SL50,SLU-PP-332,ORALS,PEPTIDES,SLU-PP-332,slu-pp-332,,50mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SLU1000,SLU-PP-332,ORALS,PEPTIDES,SLU-PP-332,slu-pp-332,,1mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SLU20,SLU-PP-332,ORALS,PEPTIDES,SLU-PP-332,slu-pp-332,,20mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SLU250,SLU-PP-332,ORALS,PEPTIDES,SLU-PP-332,slu-pp-332,,250mcg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SLU5,SLU-PP-332,ORALS,PEPTIDES,SLU-PP-332,slu-pp-332,,5mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SLU500,SLU-PP-332,ORALS,PEPTIDES,SLU-PP-332,slu-pp-332,,500mcg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SM10,Semaglutide,PEPTIDES,PEPTIDES,Semaglutide,semaglutide,semaglutide,10mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SM15,Semaglutide,PEPTIDES,PEPTIDES,Semaglutide,semaglutide,semaglutide,15mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SM2,Semaglutide,PEPTIDES,PEPTIDES,Semaglutide,semaglutide,semaglutide,2mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SM20,Semaglutide,PEPTIDES,PEPTIDES,Semaglutide,semaglutide,semaglutide,20mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SM30,Semaglutide,PEPTIDES,PEPTIDES,Semaglutide,semaglutide,semaglutide,30mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SM5,Semaglutide,PEPTIDES,PEPTIDES,Semaglutide,semaglutide,semaglutide,5mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SM500,Semaglutide,ORALS,PEPTIDES,Semaglutide,semaglutide,semaglutide,500mcg x 25tablets,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SMM3,Semaglutide,ORALS,PEPTIDES,Semaglutide,semaglutide,semaglutide,3mg x 25pcs,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SMM7,Semaglutide,ORALS,PEPTIDES,Semaglutide,semaglutide,semaglutide,7mg x 25pcs,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SMO10,Sermorelin Acetate,PEPTIDES,PEPTIDES,Sermorelin Acetate,sermorelin,sermorelin,10mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SMO15,Sermorelin Acetate,PEPTIDES,PEPTIDES,Sermorelin Acetate,sermorelin,sermorelin,15mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SMO5,Sermorelin Acetate,PEPTIDES,PEPTIDES,Sermorelin Acetate,sermorelin,sermorelin,5mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
SO100,STANOZOLOL (Oil base) winstrol,INJECTABLES-OILS,OILS / INJECTABLES,STANOZOLOL (Oil base) winstrol,stanozolol-oil,,100mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SO50,STANOZOLOL (Oil base) winstrol,INJECTABLES-OILS,OILS / INJECTABLES,STANOZOLOL (Oil base) winstrol,stanozolol-oil,,50mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SP100,TEST SUSPENSION 100mg,INJECTABLES-OILS,OILS / INJECTABLES,TEST SUSPENSION 100mg,testosterone-suspension,,100mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
SW100,STANOZOLOL (Water) winstrol,INJECTABLES-OILS,OILS / INJECTABLES,STANOZOLOL (Water) winstrol,stanozolol-water,,100mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
